Generation Number	Population Size
0	15000
1	48244
2	151555
3	440875
4	995509
5	1005568
6	992970
7	1008676
8	988985
9	1013495
10	982721
11	1020927
12	972856
13	1032272
14	957316
15	1049255
16	932972
17	1073676
18	895691
19	1105905
20	842383
21	1141124
22	778783
23	1166413
24	729674
25	1173486
26	715423
27	1173507
28	715381
29	1173506
30	715383
31	1173506
32	715383
33	1173506
34	715383
35	1173506
36	715383
37	1173506
38	715383
39	1173506
40	715383
41	1173506
42	715383
43	1173506
44	715383
45	1173506
46	715383
47	1173506
48	715383
49	1173506
50	715383
51	1173506
52	715383
53	1173506
54	715383
55	1173506
56	715383
57	1173506
58	715383
59	1173506
60	715383
61	1173506
62	715383
63	1173506
64	715383
65	1173506
66	715383
67	1173506
68	715383
69	1173506
70	715383
71	1173506
72	715383
73	1173506
74	715383
75	1173506
76	715383
77	1173506
78	715383
79	1173506
80	715383
81	1173506
82	715383
83	1173506
84	715383
85	1173506
86	715383
87	1173506
88	715383
89	1173506
90	715383
91	1173506
92	715383
93	1173506
94	715383
95	1173506
96	715383
97	1173506
98	715383
99	1173506
100	715383
